Case_ID,Area,Item,Customer,Salesperson,Benchmark_Policy,Benchmark_Basis,Precondition,Steps,Expected_Result,Actual_Result,Status,Severity,Owner,Date,Evidence_Link,Notes
TC-01,Core Routing,ITM-STEEL-1,CUST-DYN-DISTR-SILVER,SP-DYN-1,BENCH-SELL,Selling Market,Customer dynamic tier assigned,"Create sheet, select customer+salesperson, add item, recalc","Steel scenario resolved, no basis mismatch warning, benchmark margin applied",,Not Started,High,,,,
TC-02,Core Routing,ITM-COPPER-1,CUST-DYN-DISTR-SILVER,SP-DYN-1,BENCH-SELL,Selling Market,Customs rules configured,"Add copper item and recalc","Copper route/customs applied, benchmark margin from matching band",,Not Started,High,,,,
TC-03,Core Routing,ITM-ALUM-1,CUST-DYN-INST-BRONZE,SP-DYN-1,BENCH-SELL,Selling Market,Installateur customer exists,"Add alum item and recalc","Installateur context used, bronze path applies",,Not Started,High,,,,
TC-04,Tier Mode,ITM-STEEL-2,CUST-MAN-DISTR-BRONZE,SP-DYN-1,BENCH-SELL,Selling Market,Customer manual tier Bronze,"Create sheet and recalc","Manual tier used (not overwritten), pricing uses Bronze",,Not Started,High,,,,
TC-05,Tier Mode,ITM-GALVA-1,CUST-MAN-PART-ECO,SP-DYN-1,BENCH-SELL,Selling Market,Customer manual tier Eco,"Create sheet and recalc","Manual Eco tier applied, fallback route if no specific rule",,Not Started,Medium,,,,
TC-06,Agent Defaults,ITM-INOX-1,CUST-DYN-DISTR-SILVER,SP-DYN-2,BENCH-SELL,Selling Market,SP-DYN-2 has different default config,"Select SP-DYN-2, recalc","Agent-2 defaults applied, allowed options enforced",,Not Started,High,,,,
TC-07,Benchmark Basis,ITM-STEEL-1,CUST-DYN-DISTR-SILVER,SP-DYN-1,BENCH-BUY,Buying Supplier,Buying source lists active,"Use BENCH-BUY, recalc","No basis mismatch warning, supplier-basis ratio used",,Not Started,High,,,,
TC-08,Benchmark Basis,ITM-COPPER-1,CUST-DYN-INST-BRONZE,SP-DYN-1,BENCH-BUY,Buying Supplier,Buying sources available,"Recalc with copper","Supplier-basis benchmark works, customs still applied",,Not Started,High,,,,
TC-09,Benchmark Basis,ITM-ALUM-1,CUST-MAN-DISTR-BRONZE,SP-DYN-1,BENCH-BUY,Buying Supplier,Manual tier customer,"Recalc","Manual tier + buying basis both respected",,Not Started,Medium,,,,
TC-10,Benchmark Basis,ITM-STEEL-1,CUST-DYN-DISTR-SILVER,SP-DYN-1,BENCH-ANY,Any List,Mixed buy/sell sources configured,"Recalc","Mixed interpretation warning shown, save allowed",,Not Started,High,,,,
TC-11,Benchmark Basis,ITM-COPPER-1,CUST-MAN-PART-ECO,SP-DYN-2,BENCH-ANY,Any List,Mixed sources + manual tier,"Recalc","Mixed warning shown, manual tier respected",,Not Started,Medium,,,,
TC-12,Benchmark Basis,ITM-GALVA-1,CUST-DYN-INST-BRONZE,SP-DYN-2,BENCH-ANY,Any List,Mixed sources + dynamic customer,"Recalc","Mixed warning shown, dynamic tier used",,Not Started,Medium,,,,
TC-13,Fallback,ITM-STEEL-1,CUST-DYN-DISTR-SILVER,SP-DYN-1,BENCH-SELL,Selling Market,min_sources_required higher than available,"Disable sources or raise min, recalc","Fallback margin used + warning",,Not Started,Critical,,,,
TC-14,Fallback,ITM-COPPER-1,CUST-DYN-DISTR-SILVER,SP-DYN-1,BENCH-SELL,Selling Market,Ratio bands do not cover actual ratio,"Adjust bands, recalc","No matching rule -> fallback margin + warning",,Not Started,Critical,,,,
TC-15,Modifier Precedence,ITM-STEEL-1,CUST-DYN-DISTR-SILVER,SP-DYN-1,BENCH-SELL,Selling Market,Tier-only and group+tier rows exist,"Recalc","customer_group+tier modifier overrides tier-only",,Not Started,High,,,,
TC-16,Agent Restriction,ITM-ALUM-1,CUST-DYN-DISTR-SILVER,SP-DYN-1,BENCH-SELL,Selling Market,Agent allowed scenario list configured,"Force disallowed line scenario and save","Validation error blocks save",,Not Started,Critical,,,,
TC-17,Staleness Warning,ITM-INOX-1,CUST-DYN-DISTR-SILVER,SP-DYN-1,BENCH-SELL,Selling Market,Set old tier_last_calculated_on,"Open/recalc sheet","Stale tier warning appears, calculation still runs",,Not Started,Medium,,,,
TC-18,Save Validation,ITM-GALVA-1,CUST-MAN-DISTR-BRONZE,SP-DYN-1,BENCH-SELL,Selling Market,Trigger matched+fallback lines,"Recalc and save","No margin_source select error; values persist",,Not Started,Critical,,,,
